loss,mae,val_loss,val_mae,lr
0.03718535602092743,0.12292218208312988,0.005662386305630207,0.046695392578840256,0.001
0.00801725871860981,0.05737639218568802,0.0032667377963662148,0.031493525952100754,0.001
0.005321785807609558,0.04492710903286934,0.0030791182070970535,0.026268523186445236,0.001
0.004309911280870438,0.03922925889492035,0.002262165304273367,0.024926619604229927,0.001
0.003711946774274111,0.03566676750779152,0.0019827433861792088,0.022649120539426804,0.001
0.003238933626562357,0.03276922553777695,0.0017610990907996893,0.021189600229263306,0.001
0.002940856385976076,0.030978599563241005,0.001668199896812439,0.01847531832754612,0.001
0.002766887890174985,0.029657119885087013,0.001553697744384408,0.01774699240922928,0.001
0.002639553975313902,0.02874871715903282,0.0013698299881070852,0.017165541648864746,0.001
0.002549019642174244,0.02810140885412693,0.0013531693257391453,0.01725199818611145,0.001
0.0023825583048164845,0.02730799838900566,0.001374900690279901,0.01889960467815399,0.001
0.002275813603773713,0.02660541981458664,0.001295376569032669,0.01650330424308777,0.001
0.00224363268353045,0.026333030313253403,0.0012168751563876867,0.015577933751046658,0.001
0.0022134939208626747,0.026081843301653862,0.0012420805869624019,0.01626710779964924,0.001
0.0021634004078805447,0.025730784982442856,0.0010977385099977255,0.014463100582361221,0.001
0.0020717917941510677,0.025344593450427055,0.0011879897210747004,0.015266790054738522,0.001
0.002032725140452385,0.02505132183432579,0.0010582072427496314,0.013875409960746765,0.001
0.0019955525640398264,0.02494017966091633,0.0010912887519225478,0.014614896848797798,0.001
0.0019286508904770017,0.024613646790385246,0.0010634439531713724,0.014730875380337238,0.001
0.0018929283833131194,0.024257710203528404,0.0010859610047191381,0.01556832529604435,0.001
0.0017608512425795197,0.02329234778881073,0.0009190586861222982,0.013254215009510517,0.0005
0.0017086549196392298,0.023201579228043556,0.0008961110142990947,0.012501124292612076,0.0005
0.0016446084482595325,0.02288823388516903,0.0008572684018872678,0.01209261640906334,0.0005
0.0015862107975408435,0.022648613899946213,0.0009496189886704087,0.013909626752138138,0.0005
0.0016158989164978266,0.022559519857168198,0.0008380520739592612,0.011837939731776714,0.0005
0.001588293700478971,0.022380484268069267,0.0009339016396552324,0.014574001543223858,0.0005
0.001487811910919845,0.021934185177087784,0.0008064764551818371,0.011332289315760136,0.00025
0.0014704918721690774,0.021745162084698677,0.0008110619965009391,0.011246060952544212,0.00025
0.0014649848453700542,0.021689068526029587,0.0008077531238086522,0.011789719574153423,0.00025
0.0014267659280449152,0.02169092558324337,0.0008096946403384209,0.011281481012701988,0.00025
0.0014349743723869324,0.02165876515209675,0.0007777209393680096,0.01130430493503809,0.00025
0.0014051462057977915,0.0215202197432518,0.0007499299827031791,0.011526370421051979,0.00025
0.0014195418916642666,0.02130039781332016,0.0007302313460968435,0.010684424079954624,0.000125
0.0013847408117726445,0.021181121468544006,0.0007295002578757703,0.010620824992656708,0.000125
0.0013614597264677286,0.021039625629782677,0.0007291233632713556,0.010699120350182056,0.000125
0.0013451635604724288,0.021032871678471565,0.0007132779574021697,0.01068480871617794,0.000125
0.0013896400341764092,0.021104322746396065,0.0007306178449653089,0.01083926111459732,0.000125
0.0013215733924880624,0.020927874371409416,0.0007122373790480196,0.010435700416564941,6.25e-05
0.001321242656558752,0.02083585597574711,0.0006898015853948891,0.010514305904507637,6.25e-05
0.0013196996878832579,0.020895730704069138,0.000684790255036205,0.010338048450648785,6.25e-05
0.0013095710892230272,0.02077118121087551,0.0006655611796304584,0.01028386875987053,6.25e-05
0.0013067179825156927,0.02076997235417366,0.000700676697306335,0.010531513020396233,6.25e-05
0.0012982157059013844,0.02074836939573288,0.000678378448355943,0.010345485992729664,6.25e-05
0.0012885394971817732,0.02083461545407772,0.0006838719127699733,0.010567223653197289,6.25e-05
0.0013100923970341682,0.02073783054947853,0.0006702143000438809,0.010242782533168793,3.125e-05
0.0012961660977452993,0.020684143528342247,0.0006613121367990971,0.01028499100357294,3.125e-05
0.0013052383437752724,0.02073436602950096,0.0006543542840518057,0.010280102491378784,3.125e-05
0.0012342678382992744,0.020538754761219025,0.0006572935380972922,0.010184845887124538,3.125e-05
0.0012623624643310905,0.020600371062755585,0.0006595521699637175,0.01026296429336071,3.125e-05
0.0012672843877226114,0.02059035189449787,0.0006559318280778825,0.010322527028620243,1.5625e-05
0.0012626630486920476,0.02058207243680954,0.0006573683931492269,0.01027592271566391,1.5625e-05
0.0012764327693730593,0.020572170615196228,0.0006603894289582968,0.010211857967078686,1.5625e-05
0.0012873244704678655,0.020635953173041344,0.0006673398311249912,0.010265739634633064,1.5625e-05
0.0012652664445340633,0.020569657906889915,0.00066049286397174,0.010189888067543507,1.5625e-05
0.0012542277108877897,0.020538330078125,0.0006574400467798114,0.010234680026769638,7.8125e-06
0.001284609897993505,0.02058352157473564,0.0006512947147712111,0.010128485038876534,7.8125e-06
0.0012344368733465672,0.020465372130274773,0.0006568541866727173,0.010167698375880718,7.8125e-06
0.0012966819340363145,0.02064697816967964,0.000655180832836777,0.010139072313904762,7.8125e-06
0.0012751694303005934,0.020580533891916275,0.0006553317653015256,0.01020745374262333,7.8125e-06
0.0012577357701957226,0.02052423730492592,0.0006580962217412889,0.010256392881274223,3.90625e-06
0.0012268179561942816,0.02051505073904991,0.0006606836104765534,0.01020276639610529,3.90625e-06
0.0012487290659919381,0.020565200597047806,0.0006597736501134932,0.01019084919244051,3.90625e-06
0.0012714141048491001,0.020549707114696503,0.0006618298939429224,0.010142778046429157,3.90625e-06
